客户经理/销售专员,苏州,星订制,0-20人,10-15K,经验不限,大专,"['对企业/机构（To B）销售经验', '面销/陌拜经验', '企业（To B）', '互联网/科技', '企业服务', '进出口贸易', '软件/企业服务产品', '面销/陌拜']"
视觉调试工程师,苏州,朗宇合,0-20人,6-11K,经验不限,大专,"['视觉图像算法', 'VisionPro', 'VB.net', '运动控制算法', 'C#', '人工智能', '图像处理']"
高级AI算法工程师,苏州,国链云,20-99人,15-30K,1-3年,本科,"['业务导向', '语音/图像识别', 'Java', 'Python', 'C/C++', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验', '模型训练', '模型部署', '大语音模型微调']"
AI算法工程师,苏州,迈科网络,20-99人,15-25K,3-5年,本科,"['Python', '机器学习', '深度学习', '数据建模']"
研究员(苏州）(J10015),苏州,动脉网,100-499人,10-15K,1-3年,本科,"['医疗健康', '咨询公司/智库', '人工智能', '金融', '互联网']"
深度学习研发工程师,苏州,Momenta,500-999人,50-75K,3-5年,本科,"['智能驾驶', 'C/C++', 'Python', 'CNN/RNN/LSTM', '机器学习算法/工程化经验', '深度学习经验', '计算机相关专业']"
AI算法工程(3D检测/分割等方向),苏州,某大型工业自动化公司,100-499人,30-60K,经验不限,硕士,"['C/C++', 'Python', 'OpenCV']"
机器视觉工程师,苏州,苏尔码,20-99人,7-12K,1-3年,本科,"['人工智能', '深度学习', '机器学习']"
人工智能大客户销售,苏州,擎朗智能,1000-9999人,10-15K,1-3年,大专,"['新客户开发', '互联网/科技', '软件/SaaS', '餐饮服务', 'B端市场开发经验', '电话销售经验', '面销/陌拜经验', '商务谈判技巧', '市场营销相关学历', '业务开拓能力']"
人工智能算法工程师,苏州,强思数科,100-499人,35-55K,3-5年,硕士,['深度学习']
AI算法工程师（深度学习）,苏州,某大型计算机软件公司,100-499人,30-60K·15薪,3-5年,本科,"['单目视觉', '双目视觉', 'RGBD']"
AI算法工程师,苏州,精控能源,500-999人,20-30K·14薪,3-5年,硕士,"['云计算', 'C/C++']"
AI解决方案架构师（SA） -昆山(J11837),苏州,中科曙光,1000-9999人,15-20K,1-3年,硕士,"['AI产品', 'BD售前咨询', 'AI产品架构师']"
ai算法工程师,苏州,新点软件,1000-9999人,12-17K,经验不限,本科,"['nlp', '自然语言', 'NLP']"
nlp,苏州,泰州乾茂,20-99人,15-25K,1-3年,本科,"['知识图谱相关经验', '自然语言处理项目经验', '命名实体识别(NER)', '关系抽取']"
Biology Head,苏州,某制药公司,20-99人,100-200K,10年以上,博士,"['抗体类', '研发型', '留学生优先', '生物药', '英美留学生', 'SCI论文撰写发表', 'Biology']"
ai工程师,苏州,猜猜看,100-499人,18-30K,3-5年,硕士,"['Python', 'TensorFlow/PyTorch', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验']"
海归博士（AI、计算机、机器人等方向）,苏州,某大型器械公司,100-499人,30-45K,经验不限,博士,"['研究导向', '海归博士']"
python高级开发工程师,苏州,瑞友数字,100-499人,15-30K,3-5年,本科,"['Python', 'llama', 'NLP', '算法']"
